Player	R1	R2	R3	R4	R5	R6	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	QF	SF	PF	GF	Tot
Alessio, Steven	-	1	-	1	1	3	-	-	-			-		-				2							8
Bewick, Darren	8	1	1	2	-	4	1	4	1	2	-	1	3	1	1	-	4	3	2	1	3	2	6	1	52
Calthorpe, David												2	1	-		1	1	1	-		-	3	-	1	10
Cransberg, Peter	-	4	-		1																				5
Daniher, Anthony		-	-				-	-	-	-	-										-				
Daniher, Chris	-	-	-	-	-	-				-	-	-	-	-							-	-	-	1	1
Delaney, Tony	1	1			-					-															2
Denham, Sean	-	-	-			-	-	2	-	-	-	-	1	-	-	-	-	1	1	1	-	-	-	1	7
Ezard, Alan						-							-	-							-				
Fletcher, Dustin		-		-		-	-	-			-	-	-	-	-	-	-		-	-		-	-	-	
Flood, David							3		-													1	-		4
Grenvold, David	-	1	-	-	-	1	-	-	-	-	-	2	1	1	-	-	-	-	-	-	-	1	-	-	7
Harvey, Mark	2	1	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-			1	7
Hills, Paul	-	-	-	1	-	1	-	-	-			-		-	-	1	-		-	-	-	-	-	-	3
Hird, James	-	3	1	6	2	-	4	3	2	4	-				2					1		-	1	2	31
Kickett, Derek	1	2	1	-	-	-	3	3	2	2	-	4	1	-	2	3	3	2	8	-	-	-	1		38
Kilpatrick, Glenn	-												-												
Long, Michael	-			2				-	1	-	-	1		-	1	-	1	2	-	-	-	1	1	2	12
Manton, Glenn	-											-	-				-	-	-	-					
Mercuri, Mark	2	1	-	-	-	1	2	3	-	3	1					1	1	1	-	1	2	2	1	3	25
Misiti, Joe	1	1	1	-	-	-	-	-	2	-	-	-	1	2	-	-	-	-	-	3		-	-	1	12
ODonnell, Gary	-	2	1	1	-	1	3	-	-	-	1	3	-	1	-	-	-	-	-	-	-	-	1	-	14
Olarenshaw, Ricky			2	-		-	-	1	2						-	-	-	-	-	-	-	-	-	-	5
Plain, Bradley				5	3						2	5	3	4	1										23
Ridley, Todd	1			3	1																-				5
Salmon, Paul			5	5	2	10			4	4	2	1	2	2	1	1	3	1	2	3	4	4	4	5	65
Somerville, Peter			-			-	1	-		-	-		4	1	2	-	-	-	1	3	-	1	-	-	13
Sporn, Kieran	-	2	1		1														-						4
Symons, Michael				-	-	2	2	-	1	1	2	-	3	1	1	2	2	3	-	1	2	-			23
Thompson, Mark		-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-			-	-	2
Wallis, Dean		-								-					1	-		-	-	-				1	2
Wanganeen, Gavin	1	-	1	1	-	-	-	-	-	-	-	-	-		-	1	-	-		-	-	-	-	1	5
Watson, Tim							-	-	4	1	2	2	2	-	-	5	3	1			3	1	2	-	26
Totals	17	20	16	28	11	23	19	16	19	17	10	21	23	13	12	15	18	18	14	14	14	16	17	20	411
Opponent	WC	CA	CW	SY	FO	GE	SK	AD	FI	HW	ME	RI	BB	NM	WC	CA	CW	SY	FO	GE	CA	WC	AD	CA	
